AdaptChoice	Code = 56b	Session = 2	Starting Dist Col = 1
Targ 1 = 	255.000000	0.000000	0.000000	
Targ 2 = 	0.000000	0.000000	255.000000	
SubNo	Trial	Block_trial	Block_num	Plateau_cond	Transition_cond	Run_number	Targ1_position	Targ2_position	FixationCheck	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RT	Optimal_Choice	StarEndOptimal	Repeat_Switch
56b	150	54	2	0	1	6	52	18	0	3	4	4	2	1	5508	1	1	1
56b	151	55	2	0	1	7	45	19	0	3	4	4	2	1	9534	1	1	1
56b	152	56	2	0	1	8	17	38	0	3	5	5	2	1	5672	1	1	1
56b	153	57	2	0	1	9	38	18	0	3	2	2	2	1	1577	NaN	1	1
56b	154	58	2	0	1	10	24	28	0	5	3	3	2	1	7457	0	1	1
56b	155	59	2	0	1	11	15	18	0	3	4	4	2	1	6226	0	1	1
56b	156	60	2	0	1	12	18	45	0	4	3	3	2	1	4714	0	1	1
56b	157	61	2	2	0	1	4	7	0	2	4	4	2	1	6629	0	2	1
56b	158	62	2	2	0	2	43	50	0	5	3	3	2	1	4257	0	2	1
56b	159	63	2	2	0	3	27	22	0	4	3	3	2	1	11350	0	2	1
56b	160	64	2	2	0	4	33	15	0	2	5	5	2	1	8520	0	2	1
56b	161	65	2	2	0	5	1	11	0	3	2	2	2	1	4726	0	2	1
56b	162	66	2	0	2	6	19	22	0	3	2	2	2	1	2769	0	2	1
56b	163	67	2	0	2	7	5	26	0	5	2	2	2	1	9489	0	2	1
56b	164	68	2	0	2	8	30	28	0	5	3	3	2	1	2082	0	2	1
56b	165	69	2	0	2	9	29	32	0	5	3	3	2	1	3356	NaN	2	1
56b	166	70	2	0	2	10	7	32	0	3	2	2	2	1	1075	1	2	1
56b	167	71	2	0	2	11	12	2	0	4	3	3	2	1	2805	1	2	1
56b	168	72	2	0	2	12	44	3	0	5	4	4	2	1	1689	1	2	1
56b	169	73	2	1	0	1	52	29	0	3	2	2	2	1	5047	1	1	1
56b	170	74	2	1	0	2	43	18	0	2	3	3	2	1	4188	1	1	1
56b	171	75	2	1	0	3	5	3	0	3	5	5	2	1	1404	1	1	1
56b	172	76	2	1	0	4	20	26	0	3	2	2	2	1	5025	1	1	1
56b	173	77	2	1	0	5	15	21	0	4	3	3	2	1	4510	1	1	1
56b	174	78	2	0	1	6	52	23	0	4	3	3	2	1	9147	1	1	1
56b	175	79	2	0	1	7	29	1	0	2	3	3	2	1	5086	1	1	1
56b	176	80	2	0	1	8	9	25	0	3	4	4	2	1	3199	1	1	1
56b	177	81	2	0	1	9	17	31	0	5	3	3	2	1	2975	NaN	1	1
56b	178	82	2	0	1	10	20	43	0	2	4	4	2	1	7719	0	1	1
56b	179	83	2	0	1	11	39	46	0	4	5	5	2	1	11069	0	1	1
56b	180	84	2	0	1	12	35	23	0	4	2	2	2	1	2458	0	1	1
56b	181	85	2	2	0	1	13	10	0	5	4	4	2	1	10407	0	2	1
56b	182	86	2	2	0	2	20	25	0	4	2	4	1	1	25770	1	1	2
56b	183	87	2	2	0	3	27	12	0	4	3	3	2	1	5806	0	2	2
56b	184	88	2	2	0	4	14	10	0	4	2	4	1	1	3466	1	1	2
56b	185	89	2	2	0	5	17	19	0	3	5	5	2	1	10624	0	2	2
56b	186	90	2	0	2	6	37	29	0	4	5	4	1	1	2624	1	1	2
56b	187	91	2	0	2	7	9	37	0	4	5	5	2	1	2573	0	2	2
56b	188	92	2	0	2	8	34	2	0	5	4	5	1	1	3720	1	1	2
56b	189	93	2	0	2	9	44	17	0	5	4	5	1	1	9527	NaN	1	1
56b	190	94	2	0	2	10	26	32	0	2	4	2	1	1	15633	0	1	1
56b	191	95	2	0	2	11	50	26	0	4	2	2	2	1	8096	1	2	2
56b	192	96	2	0	2	12	54	50	0	3	5	5	2	1	2222	1	2	1
56b	193	1	3	1	0	1	27	32	0	2	3	3	2	1	8657	1	1	NaN
56b	194	2	3	1	0	2	48	22	0	3	4	4	2	1	6682	1	1	1
56b	195	3	3	1	0	3	51	43	0	2	4	4	2	1	4035	1	1	1
56b	196	4	3	1	0	4	8	23	0	5	3	3	2	1	4548	1	1	1
56b	197	5	3	1	0	5	48	52	0	4	3	3	2	1	3595	1	1	1
56b	198	6	3	0	1	6	6	23	0	3	4	4	2	1	4731	1	1	1
56b	199	7	3	0	1	7	24	7	0	4	3	3	2	1	3678	1	1	1
56b	200	8	3	0	1	8	24	51	0	2	4	4	2	1	5040	1	1	1
56b	201	9	3	0	1	9	43	53	0	2	3	3	2	1	5601	NaN	1	1
56b	202	10	3	0	1	10	28	32	0	4	3	3	2	1	8061	0	1	1
56b	203	11	3	0	1	11	46	38	0	5	4	4	2	1	7413	0	1	1
56b	204	12	3	0	1	12	42	39	0	4	5	5	2	1	2494	0	1	1
56b	205	13	3	2	0	1	6	5	0	5	2	2	2	1	8436	0	2	1
56b	206	14	3	2	0	2	27	11	0	5	2	2	2	1	6572	0	2	1
56b	207	15	3	2	0	3	14	48	0	3	5	5	2	1	15755	0	2	1
56b	208	16	3	2	0	4	52	49	0	5	4	4	2	1	2381	0	2	1
56b	209	17	3	2	0	5	4	25	0	3	5	5	2	1	9697	0	2	1
56b	210	18	3	0	2	6	47	8	0	4	2	2	2	1	3102	0	2	1
56b	211	19	3	0	2	7	46	18	0	5	2	2	2	1	5088	0	2	1
56b	212	20	3	0	2	8	24	47	0	2	5	5	2	1	9534	0	2	1
56b	213	21	3	0	2	9	11	53	0	3	5	5	2	1	9628	NaN	2	1
56b	214	22	3	0	2	10	4	5	0	2	4	4	2	1	5176	1	2	1
56b	215	23	3	0	2	11	28	31	0	4	3	3	2	1	5487	1	2	1
56b	216	24	3	0	2	12	46	22	0	4	2	2	2	1	6265	1	2	1
56b	217	25	3	1	0	1	27	15	0	5	3	3	2	1	3770	1	1	1
56b	218	26	3	1	0	2	26	51	0	5	2	2	2	1	3277	1	1	1
56b	219	27	3	1	0	3	30	5	0	4	2	2	2	1	2398	1	1	1
56b	220	28	3	1	0	4	39	19	0	5	3	3	2	1	6075	1	1	1
56b	221	29	3	1	0	5	9	37	0	4	5	5	2	1	3664	1	1	1
56b	222	30	3	0	1	6	23	15	0	5	3	3	2	1	5362	1	1	1
56b	223	31	3	0	1	7	20	30	0	4	5	5	2	1	1169	1	1	1
56b	224	32	3	0	1	8	5	21	0	5	4	4	2	1	5185	1	1	1
56b	225	33	3	0	1	9	10	28	0	3	2	2	2	1	3633	NaN	1	1
56b	226	34	3	0	1	10	24	4	0	3	2	2	2	1	4490	0	1	1
56b	227	35	3	0	1	11	3	5	0	5	3	3	2	1	1760	0	1	1
56b	228	36	3	0	1	12	41	14	0	4	2	2	2	1	6567	0	1	1
56b	229	37	3	2	0	1	23	13	0	2	5	5	2	1	1418	0	2	1
56b	230	38	3	2	0	2	23	51	0	2	5	5	2	1	8567	0	2	1
56b	231	39	3	2	0	3	22	13	0	3	4	4	2	1	4582	0	2	1
56b	232	40	3	2	0	4	47	23	0	4	2	2	2	1	6761	0	2	1
56b	233	41	3	2	0	5	29	45	0	3	2	2	2	1	3616	0	2	1
56b	234	42	3	0	2	6	8	38	0	4	2	2	2	1	6305	0	2	1
56b	235	43	3	0	2	7	39	41	0	3	5	5	2	1	10335	0	2	1
56b	236	44	3	0	2	8	51	27	0	4	3	3	2	1	3417	0	2	1
56b	237	45	3	0	2	9	15	38	0	3	4	4	2	1	4965	NaN	2	1
56b	238	46	3	0	2	10	3	30	0	2	3	3	2	1	2276	1	2	1
56b	239	47	3	0	2	11	52	16	0	2	3	3	2	1	2518	1	2	1
56b	240	48	3	0	2	12	30	15	0	3	5	5	2	1	5893	1	2	1
