MultiTargForag_2	Participant_Code = 62
Search_Type = 2	CB_Targets = 2
Trial	Item_Position_Num	Item_X	ItemY	Item_Shape	Item_Set
1.000000	50.000000	1188.810843	600.134825	2.000000	3.000000
1.000000	51.000000	177.878141	701.724980	1.000000	1.000000
1.000000	52.000000	330.310111	686.661894	1.000000	1.000000
1.000000	53.000000	423.697383	716.076424	2.000000	2.000000
1.000000	54.000000	529.727237	672.410742	1.000000	4.000000
1.000000	55.000000	620.151906	678.103279	1.000000	1.000000
1.000000	56.000000	743.256295	717.618153	2.000000	3.000000
1.000000	57.000000	881.215335	652.264770	1.000000	4.000000
1.000000	58.000000	967.734909	716.157372	1.000000	1.000000
1.000000	59.000000	1059.269215	708.511840	2.000000	2.000000
1.000000	60.000000	1206.788138	666.794284	2.000000	3.000000
1.000000	61.000000	221.139620	815.486984	1.000000	4.000000
1.000000	62.000000	340.026534	759.577456	1.000000	4.000000
1.000000	63.000000	405.455920	800.488234	1.000000	4.000000
1.000000	64.000000	521.614570	822.665677	2.000000	2.000000
1.000000	65.000000	621.820959	784.742549	2.000000	2.000000
1.000000	66.000000	742.293663	797.044267	1.000000	1.000000
1.000000	67.000000	886.161176	770.794459	2.000000	2.000000
1.000000	68.000000	966.338425	755.715714	1.000000	4.000000
1.000000	69.000000	1090.235453	783.966800	1.000000	1.000000
1.000000	70.000000	1194.958998	799.099517	1.000000	4.000000
1.000000	71.000000	182.468000	862.116508	2.000000	3.000000
1.000000	72.000000	323.122783	899.916689	1.000000	1.000000
1.000000	73.000000	400.639748	882.466482	2.000000	2.000000
1.000000	74.000000	515.179746	883.525635	2.000000	3.000000
1.000000	75.000000	631.007213	918.990579	2.000000	2.000000
1.000000	76.000000	749.477599	905.045044	1.000000	4.000000
1.000000	77.000000	857.454442	921.031147	2.000000	2.000000
1.000000	78.000000	967.965831	910.926028	1.000000	1.000000
1.000000	79.000000	1089.143867	915.198051	1.000000	4.000000
1.000000	80.000000	1189.825919	915.835512	1.000000	1.000000
1.000000	1.000000	178.562605	123.061980	2.000000	3.000000
1.000000	2.000000	306.278160	169.932792	1.000000	1.000000
1.000000	3.000000	447.504346	153.002204	2.000000	2.000000
1.000000	4.000000	543.674329	125.915371	2.000000	2.000000
